index,minTemp,maxTemp,Eto_values,DayPrecip,WindSpd,DaySolRad,rain,type,stage
2007-01-01,31.0,60.9,0.04,0.0,2.3,187.0,0.56,1,
2007-01-02,37.0,58.4,0.04,0.0,2.4,143.0,0.56,1,
2007-01-03,33.0,58.3,0.0,0.1,4.9,39.0,0.56,1,
2007-01-04,37.6,56.8,0.03,0.03,5.9,92.0,0.56,1,
2007-01-05,32.7,60.0,0.06,0.0,3.2,145.0,0.56,1,
2007-01-06,28.9,59.8,0.04,0.0,2.5,127.0,0.56,1,
2007-01-07,30.7,61.0,0.04,0.0,2.5,136.0,0.56,1,
2007-01-08,34.0,61.1,0.04,0.0,2.3,111.0,0.56,1,
2007-01-09,30.5,63.2,0.05,0.0,2.4,221.0,0.56,1,
2007-01-10,30.8,56.1,0.04,0.0,3.9,171.0,0.56,1,
2007-01-11,24.9,53.8,0.05,0.0,2.8,242.0,0.56,1,
2007-01-12,24.7,48.3,0.07,0.0,3.8,248.0,0.56,1,
2007-01-13,24.2,50.5,0.07,0.0,3.4,247.0,0.56,1,
2007-01-14,21.4,53.3,0.05,0.0,2.7,243.0,0.56,1,
2007-01-15,22.0,52.5,0.06,0.0,2.6,246.0,0.56,1,
2007-01-16,21.4,51.7,0.05,0.0,2.6,219.0,0.56,1,
2007-01-17,27.3,58.7,0.06,0.0,3.2,245.0,0.56,1,
2007-01-18,24.7,60.0,0.06,0.0,2.5,235.0,0.56,1,
2007-01-19,27.5,56.9,0.05,0.0,2.6,224.0,0.56,1,
2007-01-20,27.8,61.4,0.05,0.01,2.5,226.0,0.56,1,
2007-01-21,38.6,68.6,0.11,0.0,3.7,259.0,0.56,1,
2007-01-22,29.3,61.0,0.07,0.0,2.8,257.0,0.56,1,
2007-01-23,25.7,61.6,0.06,0.0,2.6,250.0,0.56,1,
2007-01-24,26.0,63.5,0.07,0.0,2.8,257.0,0.56,1,
2007-01-25,29.1,54.2,0.04,0.0,2.4,208.0,0.56,1,
2007-01-26,33.1,50.9,0.02,0.1,2.3,117.0,0.56,1,
2007-01-27,37.8,56.8,0.03,0.17,2.6,150.0,0.56,1,
2007-01-28,35.8,58.1,0.04,0.01,2.9,171.0,0.56,1,
2007-01-29,35.8,64.0,0.06,0.01,2.7,241.0,0.56,1,
2007-01-30,31.0,59.5,0.05,0.0,3.8,236.0,0.56,1,
2007-01-31,38.4,57.9,0.05,0.0,3.8,220.0,0.56,1,
2007-02-01,30.5,52.3,0.03,0.0,2.0,130.0,8.49,1,
2007-02-02,33.8,56.2,0.06,0.0,3.5,285.0,8.49,1,
2007-02-03,29.7,61.2,0.06,0.01,3.0,259.0,8.49,1,
2007-02-04,33.4,66.9,0.08,0.0,3.3,252.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-05,34.2,66.6,0.07,0.0,3.0,219.0,8.49,1,
2007-02-14,34.8,63.3,0.02,0.0,2.7,311.0,8.49,1,
2007-02-15,44.4,70.2,0.02,0.0,2.9,137.0,8.49,1,
2007-02-16,36.9,78.5,0.09,0.0,2.4,333.0,8.49,1,
2007-02-17,46.9,74.7,0.12,0.0,4.3,337.0,8.49,1,
2007-02-18,37.4,65.1,0.09,0.0,3.6,349.0,8.49,1,
2007-02-19,37.4,65.9,0.11,0.0,4.9,360.0,8.49,1,
2007-02-20,35.5,60.2,0.07,0.0,3.8,278.0,8.49,1,
2007-02-21,45.8,59.1,0.05,0.0,6.9,158.0,8.49,1,
2007-02-22,35.1,55.0,0.05,0.57,6.1,208.0,8.49,1,
2007-02-23,31.9,56.1,0.09,0.0,4.1,368.0,8.49,1,
2007-02-24,38.8,55.1,0.03,0.27,6.6,130.0,8.49,1,
2007-02-25,43.2,56.1,0.04,0.02,5.6,154.0,8.49,1,
2007-02-26,38.3,53.4,0.03,0.34,4.7,131.0,8.49,1,
2007-02-27,31.6,53.3,0.04,0.19,4.2,235.0,8.49,1,
2007-02-28,29.8,53.7,0.07,0.0,3.8,348.0,8.49,1,
2007-03-01,32.0,55.7,0.05,0.0,3.2,227.0,0.85,1,
2007-03-02,32.1,63.6,0.09,0.0,3.4,395.0,0.85,1,
2007-03-03,35.4,66.6,0.11,0.0,3.9,379.0,0.85,1,
2007-03-04,41.5,69.7,0.08,0.01,2.6,286.0,0.85,1,
2007-03-05,41.8,71.8,0.11,0.0,2.6,366.0,0.85,1,
2007-03-06,36.3,72.1,0.11,0.0,2.8,389.0,0.85,1,
2007-03-07,45.3,61.0,0.07,0.0,4.1,277.0,0.85,1,
2007-03-08,36.5,62.4,0.09,0.0,3.8,389.0,0.85,1,
2007-03-09,39.8,62.1,0.08,0.0,3.8,308.0,0.85,1,
2007-03-10,38.4,71.3,0.1,0.0,2.9,394.0,0.85,1,
2007-03-11,42.4,78.3,0.13,0.0,2.5,425.0,0.85,1,
2007-03-12,46.4,79.2,0.13,0.0,2.5,415.0,0.85,1,
2007-03-13,46.3,78.5,0.13,0.0,2.8,432.0,0.85,1,
2007-03-14,40.1,69.9,0.11,0.0,3.4,412.0,0.85,1,
2007-03-15,40.7,78.8,0.13,0.0,2.6,450.0,0.85,1,
2007-03-16,41.6,81.2,0.14,0.0,2.6,450.0,0.85,1,
2007-03-17,41.7,68.2,0.1,0.01,3.3,424.0,0.85,1,
2007-03-18,41.9,68.1,0.11,0.01,3.5,411.0,0.85,1,
2007-03-19,40.7,66.3,0.1,0.02,4.1,409.0,0.85,1,
2007-03-20,45.1,65.4,0.07,0.0,4.6,274.0,0.85,1,
2007-03-21,39.2,72.3,0.15,0.0,3.3,475.0,0.85,1,
2007-03-22,41.2,72.9,0.15,0.0,3.9,464.0,0.85,1,
2007-03-23,37.4,76.1,0.14,0.0,3.4,472.0,0.85,1,
2007-03-24,43.3,63.8,0.1,0.0,5.9,457.0,0.85,1,
2007-03-25,50.2,64.4,0.1,0.0,7.0,402.0,0.85,1,
2007-03-26,42.0,57.7,0.03,0.18,6.1,150.0,0.85,1,
2007-03-27,36.4,61.7,0.13,0.0,5.9,479.0,0.85,1,
2007-03-28,32.6,72.1,0.16,0.0,3.3,518.0,0.85,1,
2007-03-29,34.1,74.0,0.16,0.0,4.0,507.0,0.85,1,
2007-03-30,32.0,73.8,0.14,0.0,3.3,382.0,0.85,1,
2007-03-31,37.7,73.0,0.14,0.0,4.1,498.0,0.85,1,
2007-04-01,38.5,67.8,0.13,0.0,4.8,478.0,1.31,1,
2007-04-02,38.4,72.1,0.14,0.0,3.1,505.0,1.31,1,
2007-04-03,38.1,73.3,0.15,0.0,3.5,519.0,1.31,1,0.0
2007-04-04,41.0,73.9,0.13,0.0,3.2,436.0,1.31,1,0.0
2007-04-05,43.6,73.7,0.14,0.0,3.5,477.0,1.31,1,0.0
2007-04-06,46.5,67.8,0.11,0.0,5.8,447.0,1.31,1,0.0
2007-04-07,47.8,66.4,0.07,0.02,4.5,270.0,1.31,1,0.0
2007-04-08,45.6,69.7,0.15,0.0,5.7,521.0,1.31,1,0.0
2007-04-09,47.5,67.0,0.15,0.0,5.6,545.0,1.31,1,0.0
2007-04-10,36.3,71.5,0.16,0.0,4.0,542.0,1.31,1,0.0
2007-04-11,46.0,61.9,0.1,0.18,5.3,390.0,1.31,1,0.0
2007-04-12,40.3,65.6,0.16,0.01,4.9,565.0,1.31,1,0.0
2007-04-13,37.0,70.4,0.15,0.0,4.9,533.0,1.31,1,0.0
2007-04-14,43.7,61.4,0.06,0.14,4.4,231.0,1.31,1,0.0
2007-04-15,34.9,74.6,0.17,0.0,3.3,565.0,1.31,1,0.0
2007-04-16,43.0,76.8,0.2,0.0,4.3,577.0,1.31,1,0.0
2007-04-17,38.6,62.1,0.15,0.0,7.4,581.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-18,35.4,62.0,0.15,0.0,4.9,585.0,1.31,1,0.0
2007-04-24,44.2,71.7,0.09,0.0,3.8,493.0,1.31,1,0.0
2007-04-25,38.5,67.9,0.14,0.0,4.6,516.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,1.31,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,0.43,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,0.43,1,0.0
2007-04-26,39.1,76.4,0.18,0.0,3.4,627.0,0.43,1,0.0
2007-05-04,32.0,65.0,0.11,0.0,4.5,549.0,0.43,1,0.0
2007-05-05,38.9,75.8,0.21,0.0,3.4,674.0,0.43,1,0.0
2007-05-06,50.8,88.5,0.26,0.0,3.8,678.0,0.43,1,0.0
2007-05-07,55.5,90.2,0.26,0.0,4.1,667.0,0.43,1,0.0
2007-05-08,50.2,87.3,0.24,0.0,3.9,672.0,0.43,1,0.0
2007-05-09,43.8,74.3,0.18,0.0,4.4,673.0,0.43,1,0.0
2007-05-10,43.5,71.5,0.15,0.0,4.7,552.0,0.43,1,0.0
2007-05-11,41.4,68.1,0.14,0.0,5.2,555.0,0.43,1,0.0
2007-05-12,39.1,65.2,0.17,0.0,5.3,660.0,0.43,1,0.0
2007-05-13,39.8,77.9,0.2,0.0,3.9,669.0,0.43,1,0.0
2007-05-14,40.7,69.4,0.17,0.0,4.3,674.0,0.43,1,0.0
2007-05-15,39.6,68.3,0.15,0.0,4.6,579.0,0.43,1,0.0
2007-05-16,42.2,74.0,0.18,0.0,5.2,636.0,0.43,1,0.0
2007-05-17,45.4,72.1,0.19,0.0,5.1,661.0,0.43,1,0.0
2007-05-18,40.6,72.2,0.19,0.0,5.3,641.0,0.43,1,0.0
2007-05-19,43.5,76.5,0.2,0.0,4.4,665.0,0.43,1,0.0
2007-05-20,47.8,76.4,0.22,0.0,6.2,657.0,0.43,1,1.0
2007-05-21,42.7,82.8,0.24,0.0,3.8,704.0,0.43,1,1.0
2007-05-22,41.4,83.1,0.25,0.0,3.7,706.0,0.43,1,1.0
2007-05-23,48.2,88.1,0.26,0.0,3.4,693.0,0.43,1,1.0
2007-05-24,44.9,78.5,0.21,0.0,4.0,680.0,0.43,1,1.0
2007-05-25,43.8,70.4,0.14,0.0,4.0,547.0,0.43,1,1.0
2007-05-26,46.3,68.5,0.14,0.0,4.2,559.0,0.43,1,1.0
2007-05-27,49.7,64.7,0.14,0.0,6.4,581.0,0.43,1,1.0
2007-05-28,47.0,78.9,0.19,0.0,4.4,675.0,0.43,1,1.0
2007-05-29,48.0,70.7,0.17,0.0,6.1,635.0,0.43,1,1.0
2007-05-30,51.8,68.0,0.14,0.0,6.4,538.0,0.43,1,1.0
2007-05-31,51.6,68.1,0.15,0.0,6.6,552.0,0.43,1,1.0
2007-06-01,50.8,68.8,0.14,0.0,5.7,533.0,0.03,1,1.0
2007-06-02,50.8,70.0,0.15,0.0,5.3,585.0,0.03,1,1.0
2007-06-03,50.7,74.0,0.17,0.0,6.1,590.0,0.03,1,1.0
2007-06-04,56.4,75.5,0.17,0.0,6.6,564.0,0.03,1,1.0
2007-06-05,50.7,70.9,0.19,0.0,7.8,617.0,0.03,1,1.0
2007-06-06,46.1,72.6,0.2,0.0,4.8,666.0,0.03,1,1.0
2007-06-07,40.0,78.0,0.23,0.0,4.5,727.0,0.03,1,1.0
2007-06-08,42.6,73.5,0.18,0.0,4.5,638.0,0.03,1,1.0
2007-06-09,42.7,80.9,0.21,0.0,3.8,679.0,0.03,1,1.0
2007-06-10,48.3,79.5,0.22,0.0,4.4,661.0,0.03,1,1.0
2007-06-11,46.0,80.9,0.23,0.0,4.2,706.0,0.03,1,1.0
2007-06-12,44.4,85.4,0.24,0.0,4.5,703.0,0.03,1,1.0
2007-06-13,50.2,95.4,0.26,0.0,3.9,704.0,0.03,1,1.0
2007-06-14,54.0,98.0,0.27,0.0,3.6,714.0,0.03,1,1.0
2007-06-15,49.8,82.7,0.24,0.0,7.2,915.0,0.03,1,1.0
2007-06-16,49.6,67.7,0.16,0.0,6.9,629.0,0.03,1,1.0
2007-06-17,46.8,84.4,0.22,0.0,4.1,694.0,0.03,1,1.0
2007-06-18,48.2,83.5,0.22,0.0,4.5,705.0,0.03,1,1.0
2007-06-19,48.1,72.9,0.2,0.0,6.2,705.0,0.03,1,1.0
2007-06-20,46.6,74.7,0.19,0.0,5.3,659.0,0.03,1,1.0
2007-06-21,43.8,85.0,0.23,0.0,4.3,714.0,0.03,1,1.0
2007-06-22,43.0,85.9,0.24,0.0,4.7,711.0,0.03,1,1.0
2007-06-23,43.0,83.3,0.25,0.0,4.3,723.0,0.03,1,1.0
2007-06-24,43.8,79.6,0.24,0.0,4.1,716.0,0.03,1,1.0
2007-06-25,43.4,90.5,0.26,0.0,4.4,709.0,0.03,1,1.0
2007-06-26,46.2,72.2,0.2,0.0,6.0,703.0,0.03,1,1.0
2007-06-27,46.0,77.7,0.22,0.0,5.2,705.0,0.03,1,1.0
2007-06-28,52.4,76.6,0.21,0.0,6.7,689.0,0.03,1,1.0
2007-06-29,50.4,77.5,0.22,0.0,5.6,679.0,0.03,1,1.0
2007-06-30,42.2,76.5,0.22,0.0,4.5,716.0,0.03,1,1.0
2007-07-01,41.3,80.9,0.23,0.0,4.4,714.0,0.02,1,1.0
2007-07-02,44.0,87.1,0.25,0.0,4.7,703.0,0.02,1,1.0
2007-07-03,50.2,81.3,0.22,0.0,4.8,701.0,0.02,1,1.0
2007-07-04,51.0,94.2,0.25,0.0,3.9,705.0,0.02,1,1.0
2007-07-05,54.2,88.8,0.24,0.0,3.9,687.0,0.02,1,1.0
2007-07-06,51.8,77.3,0.2,0.0,5.5,680.0,0.02,1,1.0
2007-07-07,54.8,69.8,0.14,0.0,7.3,520.0,0.02,1,1.0
2007-07-08,54.2,75.6,0.19,0.0,5.6,647.0,0.02,1,1.0
2007-07-09,54.3,73.0,0.18,0.0,6.4,650.0,0.02,1,1.0
2007-07-10,52.5,75.5,0.16,0.0,6.3,531.0,0.02,1,1.0
2007-07-11,53.7,75.5,0.16,0.0,4.8,495.0,0.02,1,1.0
2007-07-12,48.4,80.0,0.23,0.0,5.0,708.0,0.02,1,1.0
2007-07-13,48.0,85.9,0.23,0.0,5.2,695.0,0.02,1,1.0
2007-07-14,49.9,82.0,0.21,0.0,5.1,675.0,0.02,1,1.0
2007-07-15,49.1,86.1,0.24,0.0,4.9,690.0,0.02,1,1.0
2007-07-16,47.2,77.3,0.21,0.0,5.9,695.0,0.02,1,2.0
2007-07-17,52.8,80.6,0.21,0.0,6.3,655.0,0.02,1,2.0
2007-07-18,56.8,78.3,0.2,0.0,5.7,624.0,0.02,1,2.0
2007-07-19,49.5,83.9,0.23,0.0,4.7,690.0,0.02,1,2.0
2007-07-20,48.4,80.7,0.22,0.0,5.9,669.0,0.02,1,2.0
2007-07-21,55.7,83.5,0.22,0.0,5.9,667.0,0.02,1,2.0
2007-07-22,53.5,86.6,0.22,0.0,4.1,665.0,0.02,1,2.0
2007-07-23,53.9,85.9,0.22,0.0,4.9,658.0,0.02,1,2.0
2007-07-24,52.5,77.0,0.18,0.0,5.0,608.0,0.02,1,2.0
2007-07-24,52.5,77.0,0.18,0.0,5.0,608.0,0.02,1,2.0
2007-07-26,55.4,74.7,0.15,0.0,5.2,538.0,0.02,1,2.0
